Iteration,Entropy Level,Input Size,Entropy,Compression Time (s),Compression Rate,Dictionary Size
72,3,245351,1.9999898226193231,0.04576706886291504,0.3101309160865383,38300
73,9,971817,6.554510995233629,0.23387908935546875,0.9795136327106853,65536
74,4,537742,2.584954574878637,0.10307598114013672,0.36992461068690935,65536
75,5,192748,3.245231027376405,0.04218292236328125,0.5030609915537385,48737
76,3,508067,1.999998996356718,0.09211301803588867,0.28922340492536375,65536
77,5,566802,3.2463872240356637,0.11355781555175781,0.46269773218866556,65536
78,5,567510,3.246765632188346,0.11345267295837402,0.4623777554580536,65536
79,4,334980,2.5849494625607234,0.0668020248413086,0.38395128067347306,64563
80,2,917957,0.9999996504561874,0.15063810348510742,0.14983708387212036,65536
81,8,30109,6.551837499076516,0.010392904281616211,1.1792155169550633,19191
82,3,721597,1.9999928095071255,0.12679386138916016,0.28219391460041354,65536
83,6,671215,3.9040671873708157,0.14137697219848633,0.564856268110814,65536
84,5,239052,3.245886066549834,0.05195808410644531,0.49295550758830714,59176
85,1,864606,2.4478638280332517e-05,0.3547530174255371,0.0020944511141491036,1572
86,5,787315,3.2462311146256844,0.1521759033203125,0.45629766992880866,65536
87,3,434246,1.9999558020503378,0.07983994483947754,0.2932683007709951,63930
88,5,481480,3.2459994763024427,0.09731721878051758,0.4665198969842984,65536
89,1,34307,0.00048122332286413004,0.006578922271728516,0.009582871800851163,518
90,2,422985,0.9999999999637144,0.06944394111633301,0.16189699398323817,34495
91,4,128569,2.5849289680885312,0.025865793228149414,0.39635640283740897,27433
92,9,785997,6.5544926607368375,0.18970298767089844,0.9821309750546122,65536
93,6,673686,4.235742027157646,0.1440727710723877,0.6143247744498179,65536
94,3,279045,1.9999618412704079,0.05221295356750488,0.30614526741302445,42969
95,5,193831,3.247211523128575,0.042191267013549805,0.5032321971201716,49026
96,9,674092,6.55450959795532,0.1641993522644043,0.9846816161592187,65536
97,3,458392,1.9999927031343407,0.0845801830291748,0.2917895600272256,65536
98,6,343968,4.409782112435302,0.07807469367980957,0.6594741371290352,65536
99,8,968209,6.554519041613758,0.23557281494140625,0.9798400965080887,65536
